Complexity,Loss,Equation
1,0.0957299,"x2"
3,0.08686273,"x2 - x0"
5,0.08264128,"(x2 * 1.5820953) - x10"
7,0.079736404,"((x2 ^ 1.0082074) - x10) * 1.9702189"
9,0.07702201,"(((x2 * 1.2288802) - x10) - 221.11792) * 1.5792218"
11,0.07683675,"(x7 + (((x2 * 1.195374) - x10) - 195.27492)) * 1.6659702"
12,0.075396195,"(((x2 * (inv(x5) + 1.3267089)) - x10) - 453.66928) * 1.3235915"
14,0.07522808,"x7 + (((x2 * (inv(x5) + 1.2853938)) - (x10 + 449.05188)) * 1.4047053)"
15,0.0748966,"(((inv(x8) + (inv(x5) + 1.3037671)) * x2) - (x10 + 454.85947)) / 0.7324285"
