Complexity,Loss,Equation
1,0.20077646,"1479.5338"
3,0.18717137,"x0 + 1362.3026"
5,0.09448267,"(x1 * x0) ^ 1.2726138"
7,0.08314896,"(x0 * (x1 - 0.2275715)) ^ 1.3036385"
8,0.07846998,"(x0 * 6.5390477) + exp(x1 + 4.039128)"
9,0.06806867,"(x1 * (x0 - (x2 * -0.04958721))) * 3.582549"
11,0.049851425,"x1 * ((x0 - (x1 * (x2 * -0.015441941))) * 3.9544978)"
13,0.044880487,"((x1 * (x2 * 0.7171901)) + (x0 * 8.123835)) + (x2 * -1.1806847)"
15,0.04114429,"(((((x1 * x2) * 0.08141628) + x0) + 15.048044) * 7.969836) + (x2 * -1.1262766)"
