Complexity,Loss,Equation
1,0.20077643,"1479.4916"
4,0.19314288,"222.98343 * log(x0)"
5,0.1689461,"(1.0023887 ^ x0) + 1472.979"
7,0.15817007,"((x0 * 0.0020419285) ^ 4.4004345) + 1465.987"
9,0.15809348,"(((x0 / 558.64246) ^ 4.359211) * 1.914336) + 1465.7133"
11,0.15633905,"(((x0 * (x0 + -1503.2253)) * x0) * 2.4173607e-7) - -1548.1318"
13,0.15633819,"(((x0 + -1503.2697) * ((x0 * x0) - -560.0014)) * 2.4173607e-7) - -1548.225"
15,0.15633707,"((x0 + -1503.3766) * ((x0 * (2.4173607e-7 * x0)) + (0.09013985 / x0))) - -1548.225"
