Complexity,Loss,Equation
1,0.0957299,"x2"
3,0.08686273,"x2 - x0"
5,0.086153604,"(x2 - x0) + x7"
7,0.08367701,"((x8 / x6) + x2) + 250.59102"
8,0.08151693,"(exp(x3) * -4.5927387e-5) + (x2 - x0)"
10,0.07922614,"(exp(x3) * -5.2121388e-5) + ((x2 - x0) / 0.97668153)"
12,0.07242122,"(((exp(x2 ^ 0.24170858) * -6.568319e-5) + x2) - x0) ^ 1.0041196"
14,0.07181324,"((exp(x2 ^ 0.24170858) * -6.568319e-5) + ((x7 + x2) - x0)) ^ 1.0041196"
