Complexity,Loss,Equation
1,0.34956047,"x1"
3,0.114345625,"x1 * 1.5378046"
5,0.10061122,"(x0 - x1) * -1.551444"
7,0.07626217,"((x1 ^ 0.7660913) / 0.04190161) + -8716.973"
9,0.07517593,"(((x1 ^ 0.8165691) / 0.076102436) + -5729.695) - x0"
11,0.074464574,"(((x1 ^ 0.88011193) / 0.09732139) - x1) + (-5473.214 - x0)"
13,0.074447915,"((-5476.8413 - x0) + (((x1 ^ 0.88128924) + 6.1966715) / 0.098652065)) - x1"
15,0.074447095,"((-5476.8413 - x0) + (((x1 ^ 0.8812915) + 6.1966715) / 0.09865431)) - (x1 - 1.3665296)"
