Complexity,Loss,Equation
1,0.4293693,"x0"
3,0.12020109,"x0 * 1.7113816"
5,0.1042419,"(x0 * 3.702599) ^ 0.9359345"
6,0.10280695,"log(x0) * (x0 ^ 0.83049107)"
7,0.08927933,"x0 * ((x0 * -3.262998e-6) + 2.0047076)"
9,0.08323783,"((x0 * -5.147249e-6) + 2.2321775) * (x0 + -701.08655)"
11,0.08323773,"(((x0 - 4.6210365) * -5.1474353e-6) + 2.2321775) * (x0 + -701.12286)"
12,0.08310141,"((x0 * -5.1176257e-6) + 2.230901) * (x0 - (log(x0) * 83.31363))"
14,0.08306297,"((x0 * -5.1176257e-6) + 2.230901) * (x0 - (log(x0 + -701.08655) * 83.31363))"
