Complexity,Loss,Equation
1,0.34956047,"x0"
3,0.114345625,"x0 / 0.65027463"
5,0.10829461,"(x0 ^ 0.97418433) * 2.0262551"
7,0.076300554,"((x0 ^ 0.7722961) + -381.52875) / 0.04504324"
9,0.076179914,"(((x0 ^ 0.8583494) + -568.05756) / 0.075044796) - x0"
11,0.07597735,"((((x0 ^ 0.8679996) + -575.7547) / 0.09931972) - x0) / 0.7436848"
13,0.075977296,"exp(log(((((x0 ^ 0.8679996) + -575.7547) / 0.09931972) - x0) / 0.7436848))"
