Complexity,Loss,Equation
1,0.0957299,"x0"
3,0.095624454,"x0 + 51.613213"
5,0.0944051,"(x0 ^ 0.9890047) * 1.1272652"
6,0.069733255,"(log(x0) + -4.482969) ^ 5.955804"
8,0.06961863,"((log(x0) + -4.457319) ^ 5.94647) - 68.838936"
10,0.069359414,"(((log(x0) + -5.3677926) ^ 5.106316) + 32.05941) * 10.509403"
12,0.06935467,"(((log(x0 + 165.06133) + -5.3677926) ^ 5.106317) * 10.509403) + 166.69618"
