Complexity,Loss,Equation
1,0.4293693,"x0"
3,0.12020109,"x0 * 1.7113827"
5,0.10424981,"(x0 ^ 0.93631303) * 3.3899171"
6,0.10280695,"log(x0) * (x0 ^ 0.83049107)"
8,0.10087002,"log(x0) * ((x0 ^ 0.8314909) - 87.28102)"
9,0.08795255,"((x0 * -0.3017695) + (x0 ^ 0.914916)) ^ 1.350433"
11,0.085565716,"(((x0 * -0.29917464) + (x0 ^ 0.9145504)) + -34.35347) ^ 1.3503358"
13,0.08534361,"((x0 ^ 0.91455567) + (((x0 + 30.068584) * -0.29917413) + -31.390558)) ^ 1.3503361"
15,0.085342966,"(((x0 - 0.9032382) ^ 0.91455567) + (((x0 - -28.05347) * -0.29917413) + -31.390558)) ^ 1.3503361"
