Complexity,Loss,Equation
1,0.34956047,"X9"
3,0.114345625,"X9 * 1.5378081"
5,0.10829606,"(X9 * 2.0596414) ^ 0.9743595"
7,0.095646024,"(X5 * (X3 / 0.14877254)) * X4"
9,0.09405827,"((X5 + 1.054591) * (X3 * X4)) / 0.15359324"
10,0.0926083,"X9 * (((X3 * inv(X5)) / 0.08505552) ^ 0.32042372)"
11,0.08155496,"(((X4 * X3) / 0.16162829) - 68.155464) * (5.342399 + X5)"
13,0.08112752,"(X5 + 5.7762375) * ((((X4 * X3) / 0.16392523) - 88.69072) + X5)"
15,0.081037454,"(X5 + 5.7762365) * (((X4 * (X3 / 0.16445646)) - 88.69072) + (X5 + 1.3141142))"
