Complexity,Loss,Equation
1,0.0957299,"x0"
3,0.09562446,"x0 - -51.60549"
5,0.09440511,"(x0 * 1.1327931) ^ 0.9887097"
7,0.07561584,"((x0 * 4.188752) ^ 0.8944779) + -2986.1243"
9,0.07504446,"(((x0 * 4.4098916) ^ 0.94193864) + -2992.6013) - x0"
11,0.07487388,"((((x0 * 5.06709) ^ 0.9618915) - x0) + -2878.2087) - x0"
13,0.07483412,"(((((x0 * 5.0705633) ^ 0.9609004) + -2872.7236) - x0) - x0) / 0.9605979"
15,0.0748341,"((((x0 * 5.0705633) ^ 0.9609004) + -0.07235467) + ((-2872.6514 - x0) - x0)) / 0.9605979"
