Complexity,Loss,Equation
1,0.20077643,"1479.4863"
5,0.19147079,"(X2 / 4.183282) + 1291.842"
7,0.15825216,"((X2 * 0.0020758647) ^ 4.362441) + 1458.2012"
11,0.15738557,"((X2 * -0.20460719) + ((X2 / 326.54388) ^ 3.7086613)) + 1582.7828"
13,0.15738504,"((X2 * -0.20460719) + (((X2 / 326.54388) ^ 3.7086613) + 1582.863)) - 0.27326033"
15,0.15738495,"-1.2445579 + (((X2 * -0.20460719) + ((X2 / 326.54388) ^ 3.7086613)) + (1585.1934 - 1.389092))"
