Complexity,Loss,Equation
1,0.34956047,"x0"
3,0.114345625,"x0 * 1.5378039"
5,0.108294435,"2.0275016 * (x0 ^ 0.97413075)"
7,0.07622234,"((x0 * 61.40699) ^ 0.7673592) + -8686.36"
9,0.076222025,"(((x0 - 1.1536019) * 61.40699) ^ 0.76735926) + -8683.124"
11,0.07622197,"exp(log((61.40699 * (x0 - 1.1536019)) ^ 0.76735926)) + -8683.125"
13,0.07433386,"((((x0 / (x0 - 8687.666)) + x0) * 61.40699) ^ 0.7673592) + -8684.892"
15,0.0743334,"-8684.892 + (((x0 + ((x0 - -2.0875046) / (x0 - 8687.666))) * 61.40699) ^ 0.7673592)"
