dataset_name,xyz_reg,radius_reg,radius_cutoff_inv,mean_training_loss,mean_density_field_loss
clutter,0.6,0,1,164088.9634375,0.8745381762610006
clutter,0.6,0,2,171532.4925,0.8666204694352589
clutter,0.6,0,3,189008.8478125,1.2007530059068432
clutter,0.6,0.3,0.5,160314.5390625,1.0177156430878602
clutter,0.6,0.3,1,160545.93125,0.9934766304808385
clutter,0.6,0.3,2,167340.9315625,0.9247348847154795
clutter,0.6,0.3,3,186556.5121875,1.1480370975430636
clutter,0.6,0.6,0.5,160253.8109375,1.0556053016527662
clutter,0.6,0.6,1,160712.7521875,1.0599855800766018
clutter,0.6,0.6,2,169655.1440625,0.96596596149642
clutter,0.6,0.6,3,189364.2653125,1.0436797495486698
clutter,0.6,1.0,0.5,163819.7159375,1.023902021821223
clutter,0.6,1.0,1,162737.11,1.0180911054195667
clutter,0.6,1.0,2,171471.3275,0.9450570651404658
clutter,0.6,1.0,3,190813.5359375,0.9767402201178867
clutter,1.0,0,0.5,166574.88625,0.8756305257821155
clutter,1.0,0,1,167133.3378125,0.8622504061815331
clutter,1.0,0,2,180918.503125,0.9103492440148737
clutter,1.0,0,3,228001.525625,1.6978465337609712
clutter,1.0,0.3,0.5,161052.8446875,1.0065360683032873
clutter,1.0,0.3,1,162890.140625,0.9763786238233962
clutter,1.0,0.3,2,177419.1240625,0.9128270751775613
clutter,1.0,0.3,3,220176.5784375,1.6343060979551374
clutter,1.0,0.6,0.5,161592.4896875,1.0391803348563675
clutter,1.0,0.6,1,163634.246875,1.0218827531734551
clutter,1.0,0.6,2,179588.3859375,0.9217896190479755
clutter,1.0,0.6,3,213246.8759375,1.1643378975970942
clutter,1.0,1.0,0.5,164033.05,1.0043114171178602
clutter,1.0,1.0,1,166155.6875,0.9817066387947634
clutter,1.0,1.0,2,183904.9075,0.9100000530522679
clutter,1.0,1.0,3,216431.5396875,1.030541400354011
