Complexity,Loss,Equation
1,0.20077646,"1479.5497"
3,0.1999503,"X4 + 1463.6993"
5,0.18741554,"(1.1828907 ^ X4) + 1457.0715"
7,0.16896315,"((1.0075144 ^ X3) ^ X4) + 1472.0227"
9,0.1621485,"(((X4 + -2.8153355) / 25.413141) ^ X3) + 1479.8807"
11,0.16147524,"(X4 + 1478.7284) + (((X4 + -2.8176446) / 25.41535) ^ X3)"
13,0.14754303,"(((X3 / X4) ^ -10.892451) / -10.178302) + ((1.2084641 ^ X4) + 1454.8698)"
15,0.14708182,"(((((X3 / X4) ^ -10.876359) / -10.143291) - X4) + 1467.4126) + (1.209919 ^ X4)"
